City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
566,Bontang,ID,84.49,0.1333,117.5,overcast clouds,KOPKAR Hotel Bintang Sintuk
567,Karratha,AU,78.82,-20.7377,116.8463,clear sky,ibis Styles Karratha
569,Balikpapan,ID,74.39,-1.2675,116.8289,very heavy rain,Swiss-Belhotel Balikpapan
572,Road Town,VG,80.69,18.4167,-64.6167,broken clouds,"ZINGARA 76ft Catamaran, full crew-all included"
573,Galle,LK,80.82,6.0367,80.217,overcast clouds,Amangalla
578,Cockburn Town,TC,82.4,21.4612,-71.1419,clear sky,Osprey Beach Hotel
579,Sakaiminato,JP,74.8,35.55,133.2333,clear sky,Italian pasley
580,Kulhudhuffushi,MV,80.83,6.6221,73.07,overcast clouds,Haajy Guest House 1
583,Banamba,ML,72.79,13.55,-7.45,broken clouds,Kassela de Banamba
587,Buchanan,LR,75.34,5.8808,-10.0467,light rain,Kamaneahn Hotel Inc
588,Jalu,LY,85.82,29.0331,21.5482,clear sky,صاحبة الفخامة
589,Porto Santo,PT,70.18,33.072,-16.3415,few clouds,Hotel Porto Santo & Spa
590,Tomatlan,MX,75.9,19.9333,-105.25,broken clouds,El Salvial
591,Ruteng,ID,74.84,-8.6136,120.4721,scattered clouds,Hotel FX 72
595,Along,IN,83.07,28.1667,94.7667,few clouds,Hotel West
596,Sarti,GR,72.82,40.1,23.9833,few clouds,Vamvini Hotel
598,Jieshi,CN,84.18,22.8134,115.8257,broken clouds,Yuehai Hotel
600,Umm Lajj,SA,88.18,25.0213,37.2685,clear sky,Moon light Furnished Units
604,Bumba,CD,70.68,2.1833,22.4667,overcast clouds,Père Carlos
605,Mahibadhoo,MV,81.37,3.7833,72.9667,overcast clouds,Omadhoo Inn
606,Sorong,ID,84.38,-0.8833,131.25,scattered clouds,Waigo Splash Hotel
608,Bujaru,BR,73.49,-1.515,-48.0447,overcast clouds,Hotel & Restaurante Beira Rio
617,Mandera,KE,74.48,3.9366,41.867,clear sky,Red Sea Resort & Suites Mandera County
618,Guane,CU,72.86,22.2025,-84.0875,overcast clouds,base de Campismo LosPortales de Guane
620,Puerto Escondido,MX,78.39,15.85,-97.0667,overcast clouds,Aldea del Bazar Hotel and Spa
623,Tukrah,LY,86.25,32.5341,20.5791,clear sky,Lagrota restaurant
625,Razole,IN,75.31,16.4833,81.8333,moderate rain,Sterling Palavelli Godavari
627,Uong Bi,VN,78.78,21.0333,106.7833,moderate rain,khach san Trung lien
628,Trincomalee,LK,82.6,8.5711,81.2335,overcast clouds,Welcombe Hotel
630,Coahuayana,MX,78.13,18.7333,-103.6833,broken clouds,El rranchito michuacan de ocampos
637,Bani Walid,LY,87.42,31.7566,13.9942,broken clouds,نيك بلاش
638,Mackay,AU,80.69,-21.15,149.2,broken clouds,International Lodge Motel
641,Garowe,SO,74.62,8.4054,48.4845,overcast clouds,Curubo Hotel
644,Port Moresby,PG,89.02,-9.4431,147.1797,haze,Lamana Hotel (Port Moresby)
648,San Joaquin,US,79.99,37.9333,-121.3011,clear sky,University Plaza Waterfront Hotel
649,Bubaque,GW,79.59,11.2833,-15.8333,overcast clouds,"Casa Dora, Bubaque"
654,Sibu,MY,89.69,2.3,111.8167,scattered clouds,RH HOTEL (4 Star)
655,Erzin,TR,74.25,36.9559,36.2,clear sky,Artemis Otel
657,Nouadhibou,MR,70.47,20.931,-17.0347,clear sky,El Medina
658,Nayoro,JP,75.99,44.3506,142.4578,clear sky,名寄 大雪荘
659,Ruwi,OM,83.89,23.5996,58.5507,clear sky,Al Falaj Hotel
660,Phillaur,IN,79.45,31.0292,75.7842,clear sky,Prithvi Resorts
661,Macau,MO,89.85,22.2006,113.5461,few clouds,Grand Emperor Hotel Macau
662,Grajau,BR,77.92,-5.8194,-46.1386,broken clouds,Hotel em Grajaú-Ma:Hotel Confiança
666,Beihai,CN,81.77,21.4833,109.1,overcast clouds,21 Degree Hostel
672,Barra Do Corda,BR,82.47,-5.5,-45.25,scattered clouds,Belchior Palace Hotel
677,Namatanai,PG,84.25,-3.6667,152.4333,light rain,Seagulls Inn Namatani
678,Discovery Bay,US,80.01,37.9085,-121.6002,clear sky,Orwood Resort Inc
687,Nkhata Bay,MW,70.54,-11.6066,34.2907,broken clouds,Mayoka Village
692,Moussoro,TD,87.26,13.6408,16.4901,scattered clouds,Pharmacie alnadja Moussoro
698,Misratah,LY,86.43,32.3754,15.0925,scattered clouds,Almasa Hotel
701,Derac,HT,77.61,19.65,-71.8167,overcast clouds,Le Marien Hotels & Resorts
704,West Bay,KY,82.47,19.3667,-81.4167,few clouds,Calypso Cove
